Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Laura Bush,hamiltonwilliam@example.com,20,Several days,Several days,Several days,Not at all,Nearly every day,Several days,Several days,Several days,Not at all,Several days,More than half the days,Not at all,Not at all,8,7,Moderate,Moderate
Lisa Kerr,lmontgomery@example.com,18,Several days,Nearly every day,Several days,Not at all,Not at all,More than half the days,Nearly every day,Several days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,10,8,Moderate,Moderate
Crystal Taylor,lcarson@example.org,17,More than half the days,More than half the days,Several days,More than half the days,Not at all,Several days,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Not at all,Not at all,9,10,Moderate,Moderate
Tammy Leonard,boydcorey@example.com,19,Not at all,Several days,More than half the days,Several days,More than half the days,Not at all,More than half the days,More than half the days,Not at all,Not at all,Several days,Not at all,Nearly every day,8,8,Moderate,Moderate
Kevin Moran,qjones@example.com,18,More than half the days,More than half the days,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,Not at all,Nearly every day,7,7,Moderate,Moderate
Barry Brewer,knightdaniel@example.com,20,Several days,Several days,Not at all,Not at all,More than half the days,Not at all,More than half the days,More than half the days,Nearly every day,Nearly every day,More than half the days,Not at all,Nearly every day,6,8,Moderate,Moderate
Abigail Johnson,millerchad@example.com,17,More than half the days,Not at all,Several days,Not at all,Several days,More than half the days,Not at all,Several days,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,6,9,Moderate,Moderate
Christian Meyer,christy05@example.net,20,Several days,Not at all,Several days,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,8,8,Moderate,Moderate
Mr. Dylan Harris,stephensolomon@example.com,21,Not at all,Several days,Several days,Several days,Nearly every day,Not at all,Several days,Nearly every day,More than half the days,Several days,More than half the days,Several days,Nearly every day,7,9,Moderate,Moderate
Denise Wolfe,sgonzalez@example.org,18,Not at all,More than half the days,Several days,More than half the days,Not at all,Several days,More than half the days,More than half the days,Not at all,More than half the days,Not at all,Several days,More than half the days,8,7,Moderate,Moderate
John Mitchell,bbrown@example.net,17,Several days,Not at all,Not at all,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,8,6,Moderate,Moderate
Jason Johnson,thorntondarren@example.org,19,More than half the days,Not at all,Nearly every day,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,More than half the days,Several days,Not at all,Nearly every day,6,8,Moderate,Moderate
Dr. Kevin Williams DDS,ogordon@example.com,20,Not at all,More than half the days,Nearly every day,Several days,Several days,Several days,More than half the days,Not at all,Not at all,More than half the days,Several days,Not at all,More than half the days,10,9,Moderate,Moderate
Eric Deleon,evelyn39@example.org,18,Several days,More than half the days,Not at all,More than half the days,Not at all,Several days,Not at all,Not at all,Nearly every day,Not at all,More than half the days,Nearly every day,More than half the days,6,7,Moderate,Moderate
Mr. Ryan Hill PhD,melvin05@example.net,19,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,Several days,Several days,More than half the days,Not at all,Not at all,Several days,Not at all,Not at all,10,9,Moderate,Moderate
Shelby Houston,johnbarnett@example.com,18,More than half the days,Several days,More than half the days,More than half the days,Not at all,Nearly every day,Not at all,Several days,Several days,Several days,Nearly every day,Several days,More than half the days,10,8,Moderate,Moderate
Joseph Murphy,conleypatrick@example.org,21,Several days,More than half the days,Several days,Nearly every day,More than half the days,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,More than half the days,More than half the days,More than half the days,9,9,Moderate,Moderate
Ariel Downs,kimberlyobrien@example.net,21,Several days,Nearly every day,Several days,Not at all,More than half the days,Several days,More than half the days,Several days,Not at all,More than half the days,More than half the days,Nearly every day,Several days,10,7,Moderate,Moderate
Megan Poole,lopezdavid@example.net,20,Nearly every day,Several days,Nearly every day,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,8,9,Moderate,Moderate
Eric Rodriguez,morrownicholas@example.org,18,More than half the days,Several days,More than half the days,Not at all,More than half the days,Several days,Not at all,Several days,Not at all,More than half the days,More than half the days,Not at all,Several days,8,9,Moderate,Moderate
Sean Jones,bookersteven@example.com,21,Nearly every day,Several days,More than half the days,Several days,Several days,Several days,Several days,Not at all,Not at all,More than half the days,More than half the days,Not at all,More than half the days,10,8,Moderate,Moderate
Curtis Hudson,logangibbs@example.org,20,Nearly every day,More than half the days,Not at all,More than half the days,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,More than half the days,Nearly every day,Nearly every day,7,6,Moderate,Moderate
Kyle Ramsey,jennifer49@example.org,19,Several days,Not at all,Nearly every day,More than half the days,Not at all,Several days,Not at all,Nearly every day,Several days,More than half the days,Nearly every day,Not at all,Nearly every day,7,10,Moderate,Moderate
Kathleen Gibbs,kcortez@example.org,21,Nearly every day,More than half the days,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Several days,Not at all,Several days,9,8,Moderate,Moderate
Tina Hamilton,james35@example.org,21,Not at all,Not at all,More than half the days,Several days,Several days,More than half the days,Nearly every day,Several days,More than half the days,More than half the days,Nearly every day,Not at all,Nearly every day,9,9,Moderate,Moderate
Michael Daugherty,mary11@example.net,18,Not at all,Several days,Several days,More than half the days,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Nearly every day,More than half the days,Not at all,More than half the days,7,9,Moderate,Moderate
Joshua Monroe,adriennewhite@example.com,21,Not at all,Nearly every day,Not at all,Not at all,More than half the days,Several days,Several days,More than half the days,Not at all,Nearly every day,Several days,Several days,Not at all,7,6,Moderate,Moderate
Donald Graham,brianjoyce@example.net,21,Several days,Nearly every day,Not at all,Several days,More than half the days,More than half the days,Not at all,Not at all,Nearly every day,Not at all,Several days,Nearly every day,More than half the days,9,7,Moderate,Moderate
Johnny Nunez,micheal72@example.com,21,Nearly every day,Several days,Several days,Not at all,More than half the days,More than half the days,Not at all,More than half the days,More than half the days,More than half the days,Several days,More than half the days,Several days,9,8,Moderate,Moderate
William Garcia,mark78@example.org,18,Not at all,Several days,More than half the days,Nearly every day,More than half the days,Not at all,Not at all,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Several days,8,6,Moderate,Moderate
Maria Smith,whiteronald@example.net,19,Not at all,Not at all,Several days,More than half the days,Not at all,Nearly every day,More than half the days,More than half the days,More than half the days,Several days,More than half the days,Nearly every day,Several days,8,9,Moderate,Moderate
David Trujillo,julie29@example.com,21,More than half the days,Not at all,Nearly every day,More than half the days,Not at all,Not at all,Several days,Not at all,Nearly every day,More than half the days,Not at all,Not at all,Nearly every day,8,9,Moderate,Moderate
Matthew Fowler,cannonsusan@example.net,17,Several days,Not at all,Nearly every day,Several days,Several days,Several days,Not at all,Several days,More than half the days,Not at all,More than half the days,Nearly every day,Not at all,7,9,Moderate,Moderate
Mark Martin,nicholsnicole@example.com,19,Several days,More than half the days,More than half the days,Several days,More than half the days,Not at all,Several days,Several days,Not at all,Nearly every day,Nearly every day,More than half the days,Nearly every day,9,6,Moderate,Moderate
Brittany West,hmoran@example.net,19,Not at all,More than half the days,Nearly every day,Not at all,Not at all,Several days,Not at all,More than half the days,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,6,10,Moderate,Moderate
Rose Cisneros,kevin13@example.net,18,Several days,More than half the days,Several days,Not at all,Nearly every day,Several days,Not at all,Several days,Nearly every day,Not at all,Not at all,Nearly every day,More than half the days,8,10,Moderate,Moderate
